iter	Passed	Remaining
889	2692	332
890	2694	329
891	2697	326
892	2700	323
893	2703	320
894	2705	317
895	2708	314
896	2710	311
897	2713	308
898	2716	305
899	2719	302
900	2721	299
901	2724	295
902	2726	292
903	2729	289
904	2732	286
905	2734	283
906	2737	280
907	2739	277
908	2742	274
909	2745	271
910	2748	268
911	2750	265
912	2753	262
913	2755	259
914	2758	256
915	2761	253
916	2763	250
917	2766	247
918	2768	244
919	2771	241
920	2774	237
921	2777	234
922	2779	231
923	2782	228
924	2784	225
925	2787	222
926	2790	219
927	2792	216
928	2795	213
929	2798	210
930	2801	207
931	2803	204
932	2806	201
933	2809	198
934	2812	195
935	2814	192
936	2817	189
937	2819	186
938	2822	183
939	2825	180
940	2827	177
941	2830	174
942	2832	171
943	2835	168
944	2838	165
945	2841	162
946	2844	159
947	2846	156
948	2849	153
949	2851	150
950	2854	147
951	2856	144
952	2859	141
953	2862	138
954	2864	134
955	2867	131
956	2869	128
957	2872	125
958	2875	122
959	2878	119
960	2880	116
961	2883	113
962	2885	110
963	2888	107
964	2891	104
965	2893	101
966	2896	98
967	2898	95
968	2901	92
969	2904	89
970	2906	86
971	2909	83
972	2911	80
973	2914	77
974	2917	74
975	2919	71
976	2922	68
977	2925	65
978	2928	62
979	2931	59
980	2935	56
981	2938	53
982	2941	50
983	2944	47
984	2947	44
985	2949	41
986	2952	38
987	2955	35
988	2958	32
989	2960	29
990	2963	26
991	2966	23
992	2968	20
993	2971	17
994	2974	14
995	2977	11
996	2979	8
997	2982	5
998	2985	2
999	2988	0
